config_id,routing_strategy,scheduler,time_step_s,offered_load_factor,deadline_factor,backhaul_factor,minimum_elevation_deg,rf_efficiency_factor,item_id,delivered,deadline_met,latency_s,failure_reason
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,0.75,0.5,10.0,0.75,telemetry-001,True,True,449.57044780597994,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,0.75,0.5,10.0,0.75,waveform-001,True,False,6154.558175353722,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,0.75,0.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,0.75,0.5,10.0,0.75,archive-001,True,True,494.55651302213823,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,0.75,0.5,10.0,0.75,telemetry-001,True,True,449.57044780597994,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,0.75,0.5,10.0,0.75,waveform-001,True,False,6154.558175353722,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,0.75,0.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,0.75,0.5,10.0,0.75,archive-001,True,True,494.55651302213823,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,0.75,0.5,10.0,0.75,telemetry-001,True,True,449.57044780597994,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,0.75,0.5,10.0,0.75,waveform-001,False,False,,DEADLINE_INFEASIBLE
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,0.75,0.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.0,0.5,10.0,0.75,archive-001,True,True,494.55651302213823,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.0,0.5,10.0,0.75,telemetry-001,True,True,449.57044780597994,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.0,0.5,10.0,0.75,waveform-001,True,False,6154.558175353722,
canonical-contact-plan-routing-v1.1,next-contact,edf,1.0,1.0,1.0,0.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.0,0.5,10.0,0.75,archive-001,True,True,494.55651302213823,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.0,0.5,10.0,0.75,telemetry-001,True,True,449.57044780597994,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.0,0.5,10.0,0.75,waveform-001,True,False,6154.558175353722,
canonical-contact-plan-routing-v1.1,earliest-arrival,edf,1.0,1.0,1.0,0.5,10.0,0.75,image-001,False,False,,INSUFFICIENT_CAPACITY
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.0,0.5,10.0,0.75,archive-001,True,True,494.55651302213823,
canonical-contact-plan-routing-v1.1,deadline-aware,edf,1.0,1.0,1.0,0.5,10.0,0.75,telemetry-001,True,True,449.57044780597994,
