config_id,project_version,routing_strategy,scheduler,time_step_s,offered_load_factor,deadline_factor,backhaul_factor,minimum_elevation_deg,rf_efficiency_factor,total_items,delivered_count,failed_count,deadline_met_items,deadline_missed_items,deadline_satisfaction_rate,critical_deadline_satisfaction_rate,delivery_ratio,average_end_to_end_latency_s,maximum_end_to_end_latency_s,contact_capacity_bits,transferred_bits,contact_utilization,selected_gs_sapporo_count,selected_gs_seoul_count,selected_gs_tokyo_count,failure_no_contact_count,failure_insufficient_capacity_count,failure_deadline_infeasible_count,failure_outside_simulation_horizon_count
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,1.5,1.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,467.0378690738866,501.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,2,0,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,1.5,1.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,452.32424882205805,501.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,1.5,1.5,10.0,0.75,4,3,1,3,1,0.75,1.0,0.75,452.32424882205805,501.8763583731704,122726121.12361106,33600000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.0,0.75,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2442.8950453939465,6334.558175353722,122726121.12361106,44800000.0,0.36504046237130694,1,1,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.0,0.75,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2429.5202392629626,6294.43375696077,122726121.12361106,44800000.0,0.36504046237130694,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.0,0.75,1.5,10.0,0.75,4,2,2,2,2,0.5,1.0,0.5,497.0634804140591,539.5565130221382,122726121.12361106,28800000.0,0.23466886866726874,1,0,1,0,1,1,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.0,1.0,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2442.8950453939465,6334.558175353722,122726121.12361106,44800000.0,0.36504046237130694,1,1,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.0,1.0,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2429.5202392629626,6294.43375696077,122726121.12361106,44800000.0,0.36504046237130694,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.0,1.0,1.5,10.0,0.75,4,2,2,2,2,0.5,1.0,0.5,497.0634804140591,539.5565130221382,122726121.12361106,28800000.0,0.23466886866726874,1,0,1,0,1,1,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.0,1.5,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2442.8950453939465,6334.558175353722,122726121.12361106,44800000.0,0.36504046237130694,1,1,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.0,1.5,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2429.5202392629626,6294.43375696077,122726121.12361106,44800000.0,0.36504046237130694,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.0,1.5,1.5,10.0,0.75,4,2,2,2,2,0.5,1.0,0.5,497.0634804140591,539.5565130221382,122726121.12361106,28800000.0,0.23466886866726874,1,0,1,0,1,1,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.25,0.75,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2498.542755470136,6382.830440572603,122726121.12361106,56000000.0,0.45630057796413365,1,1,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.25,0.75,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2498.542755470136,6382.830440572603,122726121.12361106,56000000.0,0.45630057796413365,1,1,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.25,0.75,1.5,10.0,0.75,4,2,2,2,2,0.5,1.0,0.5,556.3989129189022,589.6371093933263,122726121.12361106,36000000.0,0.29333608583408594,1,0,1,0,1,1,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.25,1.0,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2498.542755470136,6382.830440572603,122726121.12361106,56000000.0,0.45630057796413365,1,1,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.25,1.0,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2498.542755470136,6382.830440572603,122726121.12361106,56000000.0,0.45630057796413365,1,1,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.25,1.0,1.5,10.0,0.75,4,2,2,2,2,0.5,1.0,0.5,556.3989129189022,589.6371093933263,122726121.12361106,36000000.0,0.29333608583408594,1,0,1,0,1,1,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.25,1.5,1.5,10.0,0.75,4,3,1,2,2,0.5,1.0,0.75,2498.542755470136,6382.830440572603,122726121.12361106,56000000.0,0.45630057796413365,1,1,1,0,1,0,0
